Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD004682	non-small cell lung carcinoma	NA	49	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	50	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	50	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	51	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	51	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	52	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	52	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	53	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	53	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	54	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	54	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	55	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	55	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	56	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	56	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	57	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	57	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	58	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	58	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	59	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	59	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	60	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	60	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	61	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	61	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	62	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	62	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	63	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	63	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	64	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	64	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	65	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	65	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	66	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	66	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	67	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	67	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	68	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	68	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	69	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	69	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	70	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	70	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	71	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	71	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	72	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	72	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	73	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	73	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	74	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	74	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	75	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	75	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	76	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	76	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	77	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	77	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	78	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	78	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	79	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	79	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	80	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	80	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	81	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	81	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	82	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	82	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	83	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	83	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	84	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	84	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	85	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	85	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	86	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	86	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	87	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	87	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	88	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	88	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	89	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	89	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	90	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	90	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	91	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	91	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	92	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	92	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	93	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	93	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	94	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	94	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	95	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	95	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	96	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	96	1	0	0	0	0	0	0	NA
